Date,Open,High,Low,Close,Adj Close,Volume
2020-07-10,20.490000,20.680000,20.490000,20.680000,20.569559,27700
2020-07-13,20.660000,20.889999,20.490000,20.490000,20.380573,9600
2020-07-14,20.510000,20.770000,20.510000,20.629999,20.519825,8700
2020-07-15,21.000000,21.000000,20.760000,20.879999,20.768490,24100
2020-07-16,20.709999,20.750000,20.570000,20.600000,20.489986,10000
2020-07-17,20.629999,20.920000,20.540001,20.879999,20.768490,25500
2020-07-20,20.809999,20.809999,20.469999,20.469999,20.360680,19400
2020-07-21,20.709999,20.820000,20.570000,20.600000,20.489986,49600
2020-07-22,20.480000,21.040001,20.450001,21.000000,20.887850,22900
2020-07-23,21.000000,21.049999,20.780001,20.930000,20.818224,12700
2020-07-24,20.840000,20.900000,20.719999,20.730000,20.619291,73400
2020-07-27,20.549999,20.959999,20.520000,20.950001,20.838118,14100
2020-07-28,20.940001,21.450001,20.920000,21.350000,21.235981,12900
2020-07-29,21.440001,21.790001,21.370001,21.790001,21.673632,20600
2020-07-30,21.430000,21.809999,21.430000,21.719999,21.604004,10400
2020-07-31,21.570000,21.750000,21.379999,21.750000,21.633844,55100
2020-08-03,21.719999,21.719999,21.370001,21.480000,21.365286,16700
2020-08-04,21.469999,21.879999,21.400000,21.879999,21.763149,14300
2020-08-05,21.910000,21.910000,21.639999,21.799999,21.683577,28200
2020-08-06,21.760000,21.910000,21.719999,21.820000,21.703470,10200
2020-08-07,21.780001,22.129999,21.760000,22.129999,22.011814,16600
2020-08-10,22.139999,22.430000,22.139999,22.250000,22.131174,3800
2020-08-11,22.440001,22.440001,21.840000,21.889999,21.773096,11900
2020-08-12,22.000000,22.070000,21.910000,22.070000,21.952135,14900
2020-08-13,21.990000,22.219999,21.750000,21.750000,21.633844,11200
2020-08-14,21.709999,21.969999,21.709999,21.750000,21.633844,16600
2020-08-17,21.850000,22.000000,21.650000,22.000000,21.882509,56600
2020-08-18,22.020000,22.020000,21.690001,21.860001,21.743258,21600
2020-08-19,21.820000,21.820000,21.389999,21.389999,21.275766,9400
2020-08-20,21.389999,21.830000,21.389999,21.719999,21.604004,17400
2020-08-21,21.570000,21.740000,21.490000,21.629999,21.514484,14800
2020-08-24,21.730000,21.879999,21.510000,21.879999,21.763149,5000
2020-08-25,21.969999,21.969999,21.750000,21.930000,21.812883,10300
2020-08-26,21.790001,21.799999,21.580000,21.639999,21.524431,12200
2020-08-27,21.590000,22.070000,21.590000,22.020000,21.902403,8000
2020-08-28,21.950001,22.160000,21.910000,22.160000,22.041655,32600
2020-08-31,22.180000,22.180000,21.860001,21.930000,21.812883,10900
2020-09-01,21.809999,21.959999,21.730000,21.879999,21.763149,20200
2020-09-02,21.990000,22.309999,21.889999,22.309999,22.190853,17800
2020-09-03,22.250000,22.549999,21.980000,22.080000,21.962082,12700
2020-09-04,22.120001,22.180000,21.709999,22.070000,21.952135,11700
2020-09-08,21.780001,21.959999,21.690001,21.690001,21.574165,13400
2020-09-09,21.940001,22.090000,21.840000,21.930000,21.812883,3400
2020-09-10,21.940001,21.940001,21.650000,21.719999,21.604004,8500
2020-09-11,21.770000,21.770000,21.340000,21.549999,21.434912,12800
2020-09-14,21.650000,22.139999,21.650000,22.059999,21.942188,17200
2020-09-15,22.190001,22.440001,22.180000,22.200001,22.081442,12300
2020-09-16,22.410000,22.520000,22.340000,22.340000,22.220694,5700
2020-09-17,22.090000,22.139999,21.860001,21.990000,21.872562,5500
2020-09-18,21.959999,21.959999,21.490000,21.510000,21.395126,8900
2020-09-21,21.209999,21.440001,20.690001,20.809999,20.698864,12800
2020-09-22,20.840000,21.150000,20.840000,21.000000,20.887850,8900
2020-09-23,21.020000,21.020000,20.389999,20.410000,20.301001,7900
2020-09-24,20.280001,20.559999,20.129999,20.370001,20.370001,31900
2020-09-25,20.320000,20.740000,20.320000,20.709999,20.709999,5600
2020-09-28,21.230000,21.330000,21.139999,21.280001,21.280001,9200
2020-09-29,21.170000,21.219999,20.900000,21.080000,21.080000,10400
2020-09-30,21.139999,21.340000,20.930000,21.100000,21.100000,44100
2020-10-01,21.230000,21.570000,21.110001,21.570000,21.570000,69400
2020-10-02,21.379999,22.070000,21.330000,22.059999,22.059999,10200
2020-10-05,22.120001,22.190001,21.830000,22.139999,22.139999,10600
2020-10-06,22.100000,22.400000,22.000000,22.030001,22.030001,8700
2020-10-07,22.200001,22.200001,21.959999,22.080000,22.080000,23500
2020-10-08,22.170000,22.490000,22.170000,22.450001,22.450001,3800
2020-10-09,22.350000,22.500000,22.320000,22.379999,22.379999,32500
2020-10-12,22.270000,22.559999,22.270000,22.459999,22.459999,8800
2020-10-13,22.280001,22.280001,21.969999,22.059999,22.059999,19100
2020-10-14,22.070000,22.070000,21.780001,21.830000,21.830000,27500
2020-10-15,21.559999,22.020000,21.559999,21.870001,21.870001,15700
2020-10-16,21.879999,21.879999,21.660000,21.660000,21.660000,15200
2020-10-19,21.690001,21.690001,21.309999,21.309999,21.309999,10400
2020-10-20,21.459999,21.600000,21.450001,21.450001,21.450001,9900
2020-10-21,21.420000,21.480000,21.309999,21.440001,21.440001,10800
2020-10-22,21.389999,21.629999,21.389999,21.620001,21.620001,20000
2020-10-23,21.719999,21.740000,21.580000,21.670000,21.670000,9200
2020-10-26,21.309999,21.330000,21.150000,21.320000,21.320000,53500
2020-10-27,21.270000,21.340000,20.969999,20.969999,20.969999,5600
2020-10-28,20.530001,20.690001,20.340000,20.389999,20.389999,18400
2020-10-29,20.299999,20.740000,20.299999,20.719999,20.719999,7700
2020-10-30,20.510000,20.610001,20.270000,20.500000,20.500000,8900
2020-11-02,20.740000,21.030001,20.740000,21.030001,21.030001,10300
